QUESTIONS,INTENT,NER DATA,Updated_NER,small_talk_questions,small_talk_answer
interiour of the college,infrastructure,what companies are the students placed to in electronics,,thanks a lot,can i help you with something else
are hostel faculity available,infrastructure,what all courses are offered in the electronics engineering progam,,hello i had some questions,hello i had some questions
how many students can be accomodated in the hostel,infrastructure,what are the core subjects taught in electronics engineering,,hi i had a few questions,hi i had a few questions
what is the criteria to avail hostel facility,infrastructure,what is the syllabus for second year electronics engineering,,who are you,hello  i am addbot created by the almighty great akash
is there a diffrential fee structure for girls hostel,infrastructure,what is the course content in electronics engineering,,what are you,hello  i am addbot created by the almighty great akash
what are the mess and canteen facility for students,infrastructure,electronics branch scholarships,give me informatiojn about the IT faculty,who made you,i am addbot created by the almighty great akash
wifi facilty,infrastructure,branch electronics,,good morning,hello
name and contact of hostel athorities,infrastructure,,,good evening,hello
,,,,good night,good night
,,,,thank you,can i help you with something else
what is the course syllabus?,syllabus,,give me informatiojn about the EXTC faculty,this was usefull,alright
What is the pathway of the course ?,syllabus,,give me informatiojn about the Mech faculty,alright,okay
What is the course content ?,syllabus,,who teaches courses in the electronics department,ok,great talking to you
What are the subjects included in the course ?,syllabus,,who teaches courses in the computer department,thanks,can i help you with something else
what is the syllabus for second year,syllabus,,who teaches courses in the IT department,this was usefull,alright
what are the courses in third year engineering,syllabus,,who teaches courses in the EXTC department,alright,okay
what electives are offered,syllabus,,who teaches courses in the Mech department,ok,great talking to you
what are extra subjects being offered,syllabus,,who is the electronics head of the department,okay,great talking to you
how many subjects are offered in a perticular semester,syllabus,,who is the computer head of the department,alright thank you,great talking to you
what are the course objective,syllabus,,who is the IT head of the department,that's all for now,great talking to you
what are the program objectives,syllabus,,,can you tell me something,"sure , how can i help you "
what are the future plans for infrastructure,syllabus,,,what all can you do,"I am addbot, i can help you with getting to know the college better"
what are the diffrent types of graduate progams available,syllabus,,,what are you capable of,"I am addbot, i can help you with getting to know the college better"
is distance learning available at grad level,syllabus,,,alright thank you,great talking to you
are their oppertunities available for student exchange,syllabus,,,that's all for now,great talking to you
,,,,can you tell me something,"sure , how can i help you "
,,,,what all can you do,"I am addbot, i can help you with getting to know the college better"
When are the examination held?,calendar,,who is the EXTC head of the department,what are you capable of,"I am addbot, i can help you with getting to know the college better"
Give some information about the semester durations.,calendar,,who is the Mech head of the department,,
Can you provide us with the college calendar?,calendar,,what is the basic qualification in the electronics department,,
How long is a single semester?,calendar,,what is the basic qualification in the computer department,,
How are the semesters divided ?,calendar,,what is the basic qualification in the IT department,,
what is the course duration?,calendar,,what is the basic qualification in the EXTC department,,
How many holidays are provided to the students?,calendar,,what is the basic qualification in the Mech department,,
How many examinations are conducted in a semester?,calendar,,how many labs does the electronics department have,,
,,,how many labs does the computer department have,,
,,,,,
,,,,,
,,,how many labs does the IT department have,,
Can you tell us about the past placement records of the college ?,placement,,how many labs does the EXTC department have,,
What is the average package of the last year?,placement,,how many labs does the Mech department have,,
what is the average package of students graduating from this college ?,placement,,what equipment does the electronics department have,,
What is the highest package any student received last year?,placement,,what equipment does the computer department have,,
What is the highest package achieved by students graduating fromt this college?,placement,,what equipment does the IT department have,,
Which companies come for campus placements in this college?,placement,,what equipment does the EXTC department have,,
Which are the companies that come for the campus placements to hire graduates?,placement,,what equipment does the Mech department have,,
Which companies will the student have a chance to apply for?,placement,,does the electronics department have adequate equipment,,
which are new prospective companies that can come to college placements,placement,,,,
,,,,,
,,,does the computer department have adequate equipment,,
Give some information about the past result records of the college?,result,,does the IT department have adequate equipment,,
What was the top score achieved last year?,result,,does the EXTC department have adequate equipment,,
What is the average result of the college ?,result,,does the Mech department have adequate equipment,,
What were the best marks scored last year?,result,,what all courses are offered in the electronics engineering progam,,
What is the average result of the last year?,result,,what all courses are offered in the computer engineering progam,,
How many students passed from total students in last year?,result,,what all courses are offered in the IT engineering progam,,
What is the average graduating result of the college ?,result,,what all courses are offered in the EXTC engineering progam,,
How many students on an average pass out from this college ?,result,,what all courses are offered in the Mech engineering progam,,
what is the progress pattern of the students according to their results,result,,,,
what is the present  grading system,result,,what are the core subjects taught in electronics engineering,,
,,,,,
,,,,,
Are there any Student bodies in this college?,student body,,what are the core subjects taught in computer engineering,,
Give some information of the student bodies present in the college ?,student body,,what are the core subjects taught in IT engineering,,
"Apart from studies, what other activities are students able to engage in the college ?",student body,,what are the core subjects taught in EXTC engineering,,
Which are different co curricular activities available in the college ?,student body,,what are the core subjects taught in Mech engineering,,
Which are different teams student can be a  part of ?,student body,,what is the syllabus for second year electronics engineering,,
What else can children learn apart from the curricular studies ?,student body,,what is the syllabus for second year computer engineering,,
What different activities does college provide the children to participate in?,student body,,what is the syllabus for second year IT engineering,,
is there any social service commite the students can be part of,student body,,,,
,,,,,
,,,,,
summer internship,students,,,,
student gender diversity,students,,,,
alumni profiles,students,,,,
what is the batch size,students,,,,
are the students provided with industry experience,students,,,,
what is the time line for applying to the insitute,students,,,,
what research oppertunities are available to students,students,,,,
what is the ratio of people going for jobs and PG programs,students,,,,
what financial aid is provided to the students,students,,,,
are on campus part time jobs available,students,,,,
what is the criteria to apply for scholarships,students,,,,
"what are the support systems for lbtq , disabled students",students,,,,
